app_id,app_name,rank,country_code,date
com.epicwaronline.ms,モバイルストライク【MobileStrike】,1,PL,2016-11-30
com.machinezone.gow,ゲーム・オブ・ウォー【GameofWar】,2,PL,2016-11-30
com.nianticlabs.pokemongo,PokémonGO,3,PL,2016-11-30
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),4,PL,2016-11-30
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),5,PL,2016-11-30
com.huuuge.casino.slots,オンラインスロット＆カジノ～HuuugeCasino,6,PL,2016-11-30
com.ea.game.starwarscapital_row,スター・ウォーズ／銀河の英雄,7,PL,2016-11-30
com.igg.castleclash,CastleClash:RiseofBeasts,8,PL,2016-11-30
pl.naviexpert.market,NawigacjaimapyNaviExpert,9,PL,2016-11-30
com.hcg.cok.gp,クラッシュオブキングス-「城育成シミュレーションRPG」,10,PL,2016-11-30
net.wargaming.wot.blitz,ワールド・オブ・タンクス・ブリッツ,11,PL,2016-11-30
air.com.goodgamestudios.empirefourkingdoms.polska,Empire:FourKingdoms(Polska),12,PL,2016-11-30
com.igg.android.lordsmobile,ロードモバイル,13,PL,2016-11-30
com.king.candycrushsaga,キャンディークラッシュ,14,PL,2016-11-30
com.tinder,Tinder,15,PL,2016-11-30
com.funplus.familyfarm,にじいろ牧場,16,PL,2016-11-30
com.blizzard.wtcg.hearthstone,Hearthstone:ハースストーン,17,PL,2016-11-30
com.webzen.muorigin.global.google,MUOrigin,18,PL,2016-11-30
com.kabam.marvelbattle,MARVELオールスターバトル,19,PL,2016-11-30
com.platogo.gmp,Gaminator-FreeCasinoSlots,20,PL,2016-11-30
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),21,PL,2016-11-30
com.king.farmheroessaga,ファームヒーロー,22,PL,2016-11-30
mobi.avenger.gamepl,Pogromcy,23,PL,2016-11-30
eu.nordeus.topeleven.android,TopElevenファンタジーサッカーマネージャー,24,PL,2016-11-30
com.catdaddy.cat22,WWESuperCard,25,PL,2016-11-30
com.heroesofchaos.ggplay.koramgame.ru,Goddess:HeroesofChaos,26,PL,2016-11-30
com.ea.gp.fifamobile,FIFAMobileサッカー,27,PL,2016-11-30
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,28,PL,2016-11-30
com.moonton.magicrush,マジックラッシュ(MagicRush:Heroes),29,PL,2016-11-30
com.ea.game.nfs14_row,NeedforSpeed™NoLimits,30,PL,2016-11-30
com.miniclip.eightballpool,8BallPool,31,PL,2016-11-30
com.mobile.legends,MobileLegends:Bangbang,32,PL,2016-11-30
com.endomondo.android,Endomondoランニングサイクリングウォーキング,33,PL,2016-11-30
pl.aqurat.automapa,AutoMapa,34,PL,2016-11-30
com.fridaysgames.godsandglory,GodsandGlory,35,PL,2016-11-30
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,36,PL,2016-11-30
com.tellybug.talent.poland.tvn,MamTalent!TVN,37,PL,2016-11-30
com.playrix.township,タウンシップ(Township),38,PL,2016-11-30
air.com.pixelfederation.TrainStationGame,TrainStation-GameOnRails,39,PL,2016-11-30
com.allstargames.ggplay.wsjjpl,SwordofChaos-MieczChaosu,40,PL,2016-11-30
com.supercell.boombeach,ブーム・ビーチ(BoomBeach),41,PL,2016-11-30
com.innogames.foeandroid,ForgeofEmpires,42,PL,2016-11-30
com.mojang.minecraftpe,マインクラフトMinecraft:PocketEd.,43,PL,2016-11-30
com.supercell.hayday,ヘイ・デイ(HayDay),44,PL,2016-11-30
air.com.playtika.slotomania,Slotomania-FreeSlots英語版,45,PL,2016-11-30
air.MSPMobile,MovieStarPlanet,46,PL,2016-11-30
com.ea.game.simcitymobile_row,シムシティ　ビルドイット(SIMCITYBUILDIT),47,PL,2016-11-30
pl.librus.synergiaDru2,Synergia,48,PL,2016-11-30
com.netmarble.mherosgb,MARVELFutureFight,49,PL,2016-11-30
com.stac.empire.main,AgeofWarringEmpire,50,PL,2016-11-30
com.memrise.android.memrisecompanion,メムライズ、無料で語学学習,51,PL,2016-11-30
com.perblue.dragonsoul,DragonSoul,52,PL,2016-11-30
com.king.candycrushsodasaga,キャンディークラッシュソーダ,53,PL,2016-11-30
com.igg.bzbee.deckheroes,DeckHeroes:Legacy,54,PL,2016-11-30
com.gtarcade.lod,LegacyofDiscord-FuriousWings,55,PL,2016-11-30
com.ea.games.r3_row,RealRacing3,56,PL,2016-11-30
net.flirtlist.tiwarpl,LegendarniTytani,57,PL,2016-11-30
