app_id,app_name,rank,country_code,date
com.BeresnevGames.Knife,FlippyKnife,1,PL,2017-08-29
com.flazm.bobtherobber4,BobTheRobber4,2,PL,2017-08-29
com.tccglobal.gangswiezakow2,BiedronkaGangŚwieżaków2,3,PL,2017-08-29
com.apnax.wordsnack.pl,PiknikSłowo-TwójPiknikzWyrazami,4,PL,2017-08-29
com.nordcurrent.cafe,HappyCafe,5,PL,2017-08-29
com.recloak.littlealchemy2,LittleAlchemy2,6,PL,2017-08-29
com.crazylabs.cheating.tom,いかさまトム4-見習い美容師,7,PL,2017-08-29
exploration16.pro_team.exploration,ExplorationProliteCraftingandBuildingWorld,8,PL,2017-08-29
com.cocoplay.roller.girl,ローラーガールズ-ローラースケートでダンス,9,PL,2017-08-29
pl.filing.cobyswolal,Cobyśwolał?,10,PL,2017-08-29
com.rgb.soyluna,SoyLuna-TuHistoria,11,PL,2017-08-29
com.tutotoons.app.hannahshighschoolsummercrush.free,Hannah'sHighSchoolSummerCrush-TeenDate,12,PL,2017-08-29
air.com.functu.adamandeve3,AdamandEve3,13,PL,2017-08-29
com.siroccomobile.eurovolleypoland2017,LottoEurovolleyPoland2017-TheBestVolleyball,14,PL,2017-08-29
com.shadowdev.upgrader,CaseUpgrader,15,PL,2017-08-29
com.MaxiCraft.MineExplore.NewExploration,AdventureMaxiCraft,16,PL,2017-08-29
com.catool.vegas.ganstercity,ベガスギャングスターシティ,17,PL,2017-08-29
com.nukeboxstudios.foodtruckchef,フードトラック・シェフ:料理ゲーム,18,PL,2017-08-29
com.rappidstudios.simulatorbattlearmy,ArmyBattleSimulator,19,PL,2017-08-29
se.foglo.svt,SnipersvsThieves,20,PL,2017-08-29
com.tccglobal.stokrotkaar,StokrotkaZagrożonegatunkizwierząt,21,PL,2017-08-29
com.mobaysoft.android.bellaskyway2017,BellaSkywayFestival2017,22,PL,2017-08-29
com.patyuk.mrc,MarbleRun,23,PL,2017-08-29
com.CactusGames.BCL,BigCityLife:Simulator,24,PL,2017-08-29
com.grandtheftauto.five.sniper,GrandSniperV:SanAndreas,25,PL,2017-08-29
com.mobiroller.mobi5426915376,StatsClashRoyaleNextChest,26,PL,2017-08-29
com.tutotoons.app.pandalubabybearcare2.free,PandaLuBabyBearCare2-ベビーシッター&デイケア,27,PL,2017-08-29
com.heliosinteractive.ben10,Ben10:AlienExperience,28,PL,2017-08-29
com.aceviral.ponycraft,PonyCrafting-UnicornWorld,29,PL,2017-08-29
com.skisosoft.gts,TrashTruckSimulator,30,PL,2017-08-29
com.BeatenPixel.stickman_backflip_killer,StickmanBackflipKiller3,31,PL,2017-08-29
com.probase.torimo,APTQIDEReferemce,32,PL,2017-08-29
com.gamedevltd.wwh,WorldWarHeroes:WW2OnlineFPS,33,PL,2017-08-29
com.Dema.app.joke,LuckyPatcher,34,PL,2017-08-29
com.grandcru.battlejack,Battlejack,35,PL,2017-08-29
com.RevolutionCraft.MineExploration,MineRevolutioncraft,36,PL,2017-08-29
com.cocoplay.stylist.girl,スタイリストガール-皆をゴージャスにコーデ！,37,PL,2017-08-29
